"","X","WID","n_reg","n_dam","n_basin","res_vol","iw_vol","DOF","DOR","USE","SED","RDD","URB","uparea","order","b","pval","fdi_mean","group","RL"
"1",370,11005203,0,0,340,0,0,0,0,0.0814705895588678,0,0.78772058824406,0,14142.2944925563,5,-0.00299671,0.0437869804777886,1.03795872571429,"(-0.1,0]",0
"2",810,11027295,0,0,810,0,0,0,0,0.220443351891607,0,0.571314040231954,0.0431440877246446,33216.9368355124,5,-0.002334264,0.00249302753224377,0.512699158171429,"(-0.1,0]",0
"3",1214,11065716,1,0,1249,0,0,0,0,0.0016012810486808,0,0.459714172081388,0.0313058446666257,61126.0417367797,5,-0.0005793564,0.00989568839126326,0.2448752706,"(-0.1,0]",0.0800640512409928
"4",1385,12040309,65,6,646,5.2,5.2,6.68556734873414,2.80872093929964,0.177244583819488,3.9836450134182,0.641117647613165,0,28455.1965756535,5,-0.001230073,0.0224324730032702,0.567695938714286,"(-0.1,0]",10.061919504644
"5",1430,12045941,553,61,2219,1047.3,934.7,11.5016197611105,6.39309647375799,0.653447498208556,11.0614793920294,1.00457503409563,0.0217809823248074,101713.811016793,6,-0.001256626,0.0352851323530067,0.726685485285714,"(-0.1,0]",24.9211356466877
"6",2239,13010641,1,0,1137,0,0,0.00803042003326282,0.00697284581740907,0.00369393145346075,0.140802487882293,0.504389622215126,0.119334212498594,52439.7562038175,6,-0.00030687,0.0327839015209219,0.694312967285714,"(-0.1,0]",0.0879507475813544
"7",2417,13069200,0,0,301,0,0,0,0,0.000330033008218205,0,0.498204619356311,0,13064.7100192998,5,-0.0006007874,0.0352851323530067,1.12381991071429,"(-0.1,0]",0
"8",2429,13074533,438,16,81686,4674,0,0.256963531439347,0.0842232437531584,0.0212461471249956,0.142585531387868,0.293732662867525,0.0192585025039922,3675226.82407823,9,-0.002303918,0.00000018066636820683,1.33222366582857,"(-0.1,0]",0.536199593565605
"9",2662,14013725,0,0,235,0,0,0,0,0.162978724089075,0,0.419153193717307,0,10627.8777948587,5,-0.004801334,0.00442314596163109,1.29579619465714,"(-0.1,0]",0
"10",2754,14037932,0,0,421,0,0,0,0,0.196666667592667,0,2.86161429275359,0.0493904768001466,18708.4392652926,5,-0.003342495,0.00582725731337703,0.831424492514286,"(-0.1,0]",0
"11",2764,14043457,0,0,881,0,0,0,0,0.0156108599779832,0,1.95363574724526,0,38385.9265181582,6,-0.001304629,0.0000376911823952338,1.04438367602857,"(-0.1,0]",0
"12",3358,15008948,1,0,1809,0,0,0,0,0.265195808881432,0,0.194614450172436,0.0031268615717396,90620.3146064566,5,-0.0008585395,0.0242392703746718,0.298688827942857,"(-0.1,0]",0.0552791597567717
"13",3417,15011133,4,0,373,0,0,0,0,1.87319035314763,0,0.515176946112522,0.0792734585003303,16571.7876585038,6,-0.007888819,0.0207439174201465,3.50297446948571,"(-0.1,0]",1.07238605898123
"14",3725,15022386,1,0,1384,0,0,0,0,0.0411976912417711,0,0.677474026023955,0.166162337317611,64633.9090529656,6,-0.003378122,0.0150485434544013,2.63571071902857,"(-0.1,0]",0.0722543352601156
"15",4111,15039642,0,0,225,0,0,0,0,0.0742222256130642,0,0.232502222988341,0.145999999841054,10608.7331138866,5,-0.0007989848,0.0469805611166679,0.677880005657143,"(-0.1,0]",0
"16",4129,15040159,9,0,339,0,0,0,0,2.24159291360231,0,0.177613569615865,0,14666.5692695051,5,-0.0005623766,0.0469805611166679,0.439971283714286,"(-0.1,0]",2.65486725663717
"17",4230,15044427,0,0,245,0,0,0,0,0,0,0.345783673895865,0,11317.8287163078,5,-0.0007569024,0.0150485434544013,1.14107254474286,"(-0.1,0]",0
"18",4644,15053470,77,1,1504,380,380,2.54707215187397,2.78006604757715,1.34880319195106,2.68151008652598,0.346085771190082,0.0611276588145089,62411.2919644506,6,-0.002203435,0.000807170302189612,0.320254342657143,"(-0.1,0]",5.11968085106383
"19",4956,15058296,0,0,609,0,0,0,0,0,0,0.304836332419988,0.148908344842798,30582.2171774169,6,-0.001731886,0.0379474349384441,1.83336587842857,"(-0.1,0]",0
"20",6045,15089652,0,0,539,0,0,0,0,0.0821892400177158,0,0.0751836730758202,0,25572.4029197666,5,-0.0007604798,0.0261708908378838,0.353781926228571,"(-0.1,0]",0
"21",6061,15089853,0,0,383,0,0,0,0,0.220519486959878,0,0.0981688313669973,0,16225.3083421733,5,-0.002460058,0.0261708908378838,0.849919469514286,"(-0.1,0]",0
"22",6282,15094879,0,0,469,0,0,0,0,0,0,0.0365948829569542,0,20372.2207927107,5,-0.0004148426,0.0083212096678155,0.4895658556,"(-0.1,0]",0
"23",6926,15119033,6,0,882,0,0,0,0,2.05039459651729,0,0.0258793689755738,0,48635.4326951958,6,-0.0006432006,0.0138605370137844,1.07679284622857,"(-0.1,0]",0.680272108843537
"24",7355,15141007,2,0,1797,0,0,0,0,0.283675737596266,0,0.1319372569775,0.0011315936184406,91218.5995494002,6,-0.001181939,0.000236491115731904,0.222110034657143,"(-0.1,0]",0.111296605453534
"25",7658,16013293,0,0,5163,0,0,0,0,0.0710724639129523,0,0.0907555555159919,0.00222879230112269,240984.59492136,7,-0.001561193,0.0242392703746718,1.77994543068571,"(-0.1,0]",0
"26",8676,18001160,0,0,633,0,0,0,0,0.0189573461951991,0,0.777889417375528,0.00511690357473413,28329.6945202144,6,-0.003712744,0.0000909102380969151,1.56538555842857,"(-0.1,0]",0
"27",8712,18001606,30,2,1285,330,330,1.07928140664379,1.20386192283742,0.224202335767941,0.621167229302758,0.880585993339348,0.25019143918377,58333.5091941659,6,-0.001439655,0.0083212096678155,1.09179218685714,"(-0.1,0]",2.33463035019455
"28",8713,18001610,0,0,412,0,0,0,0,0.0194174760355822,0,0.734750001067386,0,18612.8930689491,5,-0.002778781,0.0000803673722991909,0.682506213828571,"(-0.1,0]",0
"29",8794,18003479,18,1,306,25,25,2.55206412778747,0.274778382287871,0.0141935485985971,2.14393238060529,0.84943870596828,0.00544516126955709,12635.4866658542,5,-0.002889217,0.0176963560701568,0.925982641571429,"(-0.1,0]",5.88235294117647
"30",8832,18006238,0,0,323,0,0,0,0,0.0359133133439825,0,0.601399377495881,0,12947.0451816157,5,-0.0008825775,0.0117303045456346,0.510516528257143,"(-0.1,0]",0
"31",9014,28052843,60,5,661,2890,0,6.18195954756303,2.54545454545455,1.56109090561217,2.48265987848206,0.771541821441867,0.78636364733631,41984.9569826408,5,-0.001012352,0.000013102494052637,0.665359093774937,"(-0.1,0]",9.07715582450832
"32",9017,28045509,6,0,434,0,0,0,0,1.42749999687076,0,0.053541666145126,0,20364.0652160769,5,-0.002432417,0.000070987712871104,0.659618843744375,"(-0.1,0]",1.38248847926267
"33",9020,28063583,693,9,7659,1641.8,0,1.63510456999117,0.776894856591561,7.06945287214841,1.04145739838534,1.36017982808084,0.24349105108134,346421.975681058,7,-0.005028534,0.00637780514515526,0.646367817110081,"(-0.1,0]",9.048178613396
"34",9023,28067663,124,5,2024,700,700,3.86562471226889,0.243336419217057,5.79761335688925,0.718534648516921,0.651334128984937,0.324026182587292,102131.774062319,6,-0.0005929766,0.0048528248119314,1.05021989794888,"(-0.1,0]",6.12648221343874
"35",9025,28046905,15,0,461,0,0,0,1.08695652173913,5.70586954594954,0.360570282181029,0.367323912161848,0.054563045501709,22438.2837187571,5,-0.0007021856,0.00151168543603235,0.64302384391125,"(-0.1,0]",3.25379609544469
"36",9026,28046880,50,1,239,700,700,5.89418868056866,2.10084033613445,11.56932771832,4.27132056770965,0.482563025685919,0,12133.9772048005,4,-0.001003746,0.00249302753224377,0.125737751583516,"(-0.1,0]",20.9205020920502
"37",9027,28048224,56,1,1099,0,0,0.159998609553307,0.163084453377035,5.3774222978876,0.322277590030348,0.613367457262886,1.58961979087299,57193.6270560018,6,-0.004142186,0.000000290887391374113,1.95745824996723,"(-0.1,0]",5.09554140127389
"38",9086,21003369,214,25,1549,1568.2,25,3.86542204869785,2.58562132316509,0.873629914400925,4.65270214901156,3.07619664596597,6.75590895859946,73136.8861572702,6,-0.002414165,0.0000195964637929961,0.788991955146743,"(-0.1,0]",13.8153647514525
"39",10727,21023972,116,6,566,200,0,13.6373639700691,1.86513179698597,7.42173144243684,6.30819056252382,1.28221201396452,2.11519610155176,23688.0905192547,5,-0.001263591,0.00637780514515526,0.663012228963336,"(-0.1,0]",20.4946996466431
"40",10959,21025553,26,0,555,0,0,0,0,5.02702702649005,0,0.697855855618511,0.0538018023645556,23723.9742918632,5,-0.0122423,0.000807170302189612,2.53203368455877,"(-0.1,0]",4.68468468468468
"41",10995,22029989,205,23,1372,0,0,9.85854268786511,1.0842676375159,0.887536444508473,3.22553228479842,2.01671209639215,1.1299104329481,63678.9161738771,6,-0.00102728,0.0083212096678155,0.960240157535412,"(-0.1,0]",14.9416909620991
