"","X","WID","n_reg","n_dam","n_basin","res_vol","iw_vol","DOF","DOR","USE","SED","RDD","URB","uparea","order","b","pval","fdi_mean","group"
"96",10202,21019282,113,9,344,869.9,751.3,21.1521821832934,14.6472202622613,15.432558146327,13.9921210610748,1.68368604086166,0.809241279786409,15755.478502103,5,0.001437177,0.0327839015209219,0.692288256890054,"(0,0.1]"
"97",10355,21020283,100,7,598,1562.5,1190,8.91618051257819,8.56498908428444,6.81806019735974,4.59970036271668,1.15100501675819,1.28837960232112,25020.7123122877,5,0.001695391,0.0000290877744334714,0.612909834159651,"(0,0.1]"
"98",10498,21022402,75,6,485,4059.5,0,9.93910307687582,2.77975005642655,3.18804121747152,4.13910281666265,0.89317319811005,1.10536973802085,22853.2749656817,5,0.001880495,0.028234143450386,0.891463544736438,"(0,0.1]"
"99",10727,21023972,116,6,566,200,0,13.6373639700691,1.86513179698597,7.42173144243684,6.30819056252382,1.28221201396452,2.11519610155176,23688.0905192547,5,-0.001263591,0.00637780514515526,0.663012228963336,"(-0.1,0]"
"100",10959,21025553,26,0,555,0,0,0,0,5.02702702649005,0,0.697855855618511,0.0538018023645556,23723.9742918632,5,-0.0122423,0.000807170302189612,2.53203368455877,"(-0.1,0]"
"101",10976,22027412,771,26,9684,584,0,4.50323024336648,1.56270276545316,1.37694925617845,1.63538038975351,0.741065490983961,0.895417076532449,438765.957374712,7,0.005307971,0.00136439215645161,0.919958009164662,"(0,0.1]"
"102",10995,22029989,205,23,1372,0,0,9.85854268786511,1.0842676375159,0.887536444508473,3.22553228479842,2.01671209639215,1.1299104329481,63678.9161738771,6,-0.00102728,0.0083212096678155,0.960240157535412,"(-0.1,0]"
"103",11026,22032217,672,30,11626,21500,0,3.45327196215417,0.96494149984635,0.655998625895972,1.77600460969904,1.49413970721858,0.777561116197821,511478.871099371,7,0.005867151,0.000000857890049163983,0.726432638815502,"(0,0.1]"
"104",11027,22032316,11,5,239,0,0,1.20872107310275,0.0673233126309626,1.31422594342396,0.645238632231091,0.547376570186605,0.489753133706967,13471.7359229428,5,0.00550263,0.0000000176805353413526,1.48278836639215,"(0,0.1]"
"105",11086,22034360,196,6,1507,6000,0,10.5573148467957,2.67056323815318,0.680690113660232,4.80821827446851,2.05693032554961,1.86982063481407,73198.3260006229,5,0.0002495132,0.00225936064356749,0.150708640985693,"(0,0.1]"
"106",11155,22038221,2902,318,17759,18726.6,3270.7,9.47422311034688,3.03859836058105,0.348304180266102,5.46725521056924,2.00587862084077,2.97981098909448,795504.410770848,8,-0.0009024765,0.0191672520432152,0.989199014735184,"(-0.1,0]"
"107",11339,22046696,41,2,273,40,0,7.09876800450412,0.05104710503058,0.0927272742715748,3.00878156302811,0.873378181538799,0.576527269699357,13349.5190960445,4,0.001482045,0.000102750152035912,0.468140849601843,"(0,0.1]"
"108",11405,22047282,123,27,788,3822.7,1400,9.6151342398019,8.03474298157365,0.554060916023962,6.47753887179226,1.27358883330929,1.43337687229747,36121.1087142634,6,-0.0003148585,0.028234143450386,1.21417335963223,"(-0.1,0]"
"109",11406,22047283,3,3,513,419,0,0,0,0.607602340131127,0,1.33337816596031,0.25901949487002,22058.2366225824,5,0.0008586587,0.000333844169100078,0.769849201191138,"(0,0.1]"
"110",11445,22047790,306,16,1482,3720.7,0,10.1639560061938,6.10595191073675,6.11126095915636,8.09807878146382,0.86556911744323,1.81363124363702,62997.4184445665,5,-0.0004689606,0.0261708908378838,0.473495362550538,"(-0.1,0]"
"111",11536,22053748,44,3,315,238,0,6.53826670192537,3.38877506558857,4.10380953805787,4.83736852675071,0.598879367586166,0.57393651323186,12840.3562122915,5,-0.003772331,0.000467762699246,0.924760152324968,"(-0.1,0]"
"112",11538,22053768,45,2,355,201.3,169,7.80018411018479,1.09440157568791,4.47943662581309,3.99095943546411,0.921292957390698,1.45519154395016,14636.825882427,5,0.00328516,0.0000255210339748013,0.625552564652222,"(0,0.1]"
"113",12085,23004360,5,2,263,17.5,17.5,0.415660194571027,1.14148546262386,1.89505703339332,0.674952499089054,3.16140304072388,3.48293367696806,10660.3632022004,5,0.001619547,0.00907801720573989,1.29756889735957,"(0,0.1]"
"114",12180,23007593,622,83,4365,2534.3,380.6,4.54826292478869,2.4800294693858,0.853687585823398,2.8719051060372,3.6082747816746,12.1713389551546,196068.203605493,6,-0.0008267724,0.0000114379254569868,0.646674810470826,"(-0.1,0]"
"115",12268,23009241,9,0,247,0,0,0,0,2.19554656207079,0,3.2842995877932,21.0368692917138,10384.781097131,5,0.0003322275,0.0163253396829134,1.15715683823041,"(0,0.1]"
"116",12413,23014792,185,14,1664,934.3,82.5,1.5974729697959,2.62637984238359,0.509663866759062,1.52440964453085,3.65410744295079,5.24248061253994,76352.8396360295,6,0.005686583,0.00151168543603235,1.01040901802478,"(0,0.1]"
"117",12507,23019528,352,30,2673,544.6,175.8,5.63698645805087,1.3107434313431,0.545158880929523,4.00194205534704,3.63499362910462,1.78776526486762,117218.94677056,7,0.007412217,0.00225936064356749,1.90083136409468,"(0,0.1]"
"118",12508,23019590,24,5,189,0,0,4.02904726462389,0.746971533096657,0.556613759113052,4.27191128105054,3.24932804096628,1.19410052249041,10523.0493590311,5,0.002419305,0.00442314596163109,1.12681065741496,"(0,0.1]"
"119",12661,23027157,476,52,2094,8700.8,2880.4,12.7930765318052,8.7050391585559,2.85248092236353,8.60835104399213,2.55993559485913,0.638059686833836,97510.5195972635,6,0.002398489,0.00402823717083145,0.827128505817384,"(0,0.1]"
"120",12737,23033324,387,49,1222,6422.3,4687.3,21.052776382477,20.6755084876831,10.9464811653009,13.6503349294362,1.39393698614938,0.806264376801282,56997.7298647962,5,0.001825068,0.028234143450386,0.463378923065296,"(0,0.1]"
"121",12758,24003649,99,15,1157,1540,0,6.41481297346382,3.75162837959178,0.139621016629599,4.03066697213589,0.444052541062146,0.00333850122956137,51021.2330056439,6,0.0007959955,0.000998225384171292,0.661476380091526,"(0,0.1]"
"122",12785,24004217,6,1,247,0,0,1.99297335840041,0,0.0806451631830104,0,0.672653221645423,0,12327.0116413758,4,0.0003474511,0.0150485434544013,0.434042405286197,"(0,0.1]"
"123",12911,24009743,49,6,273,760,0,10.1902749957619,4.27056128812797,0.0296703301943265,1.43694959898688,1.11298167899306,0,12864.2599993062,5,-0.0009506414,0.00989568839126326,1.27188140378923,"(-0.1,0]"
"124",12963,24014246,44,3,843,0,0,4.04061717692926,0,0.0508896806415431,0,1.00070462581809,0.0122906284965796,36804.154291673,5,-0.0006612958,0.0000376911823952338,0.446304520617889,"(-0.1,0]"
"125",13076,24015938,267,10,6261,19709,0,2.86063978548539,1.18737551729697,0.0877012240149306,1.59311318025536,0.472160334661075,0.327828558083895,284893.085508398,7,-0.001295744,0.0000552457044347388,0.959175589008865,"(-0.1,0]"
"126",13078,24015982,22,0,287,0,0,4.52030183733133,0.195736338867958,0.121951221537091,1.72901473623117,0.575982578955461,0.0645121963181978,13430.687678707,4,0.00456437,0.0000428506264118929,0.405192683545234,"(0,0.1]"
"127",13105,24016738,2,0,1284,0,0,0,0,0.0510522221808125,0,0.811401402204648,0.307864105478452,56234.825295357,6,0.001348377,0.0027486122017265,0.867929482990206,"(0,0.1]"
"128",13106,24016753,4,2,513,0,0,0,0,0.28011811141834,0,1.73890157885791,2.29593898344228,23045.5971496259,5,0.000419887,0.00697472395835133,0.539682099754085,"(0,0.1]"
"129",13302,24021596,11,2,271,0,0,2.31307115414046,0.0514886746547319,0.0904059057086156,1.69751424733754,1.43395202873598,0.300682654459978,11680.3072439817,5,0.001108643,0.000102750152035912,0.557569537968533,"(0,0.1]"
