"","year","frac","order","slope","slope_perc","significance","unct","x","ymax","ymin","font_face"
"98",2011,0.150282664397471,"Stream Order = 6","0.000087","0.059",0.102956008308231,"0.034",1995,0.153747658801753,0.141680427770881,"plain"
"99",2012,0.15047290615757,"Stream Order = 6","0.000087","0.059",0.102956008308231,"0.034",1995,0.153747658801753,0.141680427770881,"plain"
"100",2013,0.145932976034432,"Stream Order = 6","0.000087","0.059",0.102956008308231,"0.034",1995,0.153747658801753,0.141680427770881,"plain"
"101",2014,0.150328183365518,"Stream Order = 6","0.000087","0.059",0.102956008308231,"0.034",1995,0.153747658801753,0.141680427770881,"plain"
"102",2015,0.1470597740627,"Stream Order = 6","0.000087","0.059",0.102956008308231,"0.034",1995,0.153747658801753,0.141680427770881,"plain"
"103",2016,0.145935112803583,"Stream Order = 6","0.000087","0.059",0.102956008308231,"0.034",1995,0.153747658801753,0.141680427770881,"plain"
"104",2017,0.150359695836996,"Stream Order = 6","0.000087","0.059",0.102956008308231,"0.034",1995,0.153747658801753,0.141680427770881,"plain"
"105",2018,0.152157248768474,"Stream Order = 6","0.000087","0.059",0.102956008308231,"0.034",1995,0.153747658801753,0.141680427770881,"plain"
"106",1984,0.109221341840463,"Stream Order = 5","0.00017","0.16",0.000147609247980814,"0.035",1995,0.113822325908033,0.103533918916662,"bold"
"107",1985,0.104554364223721,"Stream Order = 5","0.00017","0.16",0.000147609247980814,"0.035",1995,0.113822325908033,0.103533918916662,"bold"
"108",1986,0.104003089448877,"Stream Order = 5","0.00017","0.16",0.000147609247980814,"0.035",1995,0.113822325908033,0.103533918916662,"bold"
"109",1987,0.10499566713254,"Stream Order = 5","0.00017","0.16",0.000147609247980814,"0.035",1995,0.113822325908033,0.103533918916662,"bold"
"110",1988,0.10395652066045,"Stream Order = 5","0.00017","0.16",0.000147609247980814,"0.035",1995,0.113822325908033,0.103533918916662,"bold"
"111",1989,0.106847003221374,"Stream Order = 5","0.00017","0.16",0.000147609247980814,"0.035",1995,0.113822325908033,0.103533918916662,"bold"
"112",1990,0.107973482541211,"Stream Order = 5","0.00017","0.16",0.000147609247980814,"0.035",1995,0.113822325908033,0.103533918916662,"bold"
"113",1991,0.106350130421823,"Stream Order = 5","0.00017","0.16",0.000147609247980814,"0.035",1995,0.113822325908033,0.103533918916662,"bold"
"114",1992,0.105315915086286,"Stream Order = 5","0.00017","0.16",0.000147609247980814,"0.035",1995,0.113822325908033,0.103533918916662,"bold"
"115",1993,0.106052704053152,"Stream Order = 5","0.00017","0.16",0.000147609247980814,"0.035",1995,0.113822325908033,0.103533918916662,"bold"
"116",1994,0.104301650860711,"Stream Order = 5","0.00017","0.16",0.000147609247980814,"0.035",1995,0.113822325908033,0.103533918916662,"bold"
"117",1995,0.103533918916662,"Stream Order = 5","0.00017","0.16",0.000147609247980814,"0.035",1995,0.113822325908033,0.103533918916662,"bold"
"118",1996,0.108009641343524,"Stream Order = 5","0.00017","0.16",0.000147609247980814,"0.035",1995,0.113822325908033,0.103533918916662,"bold"
"119",1997,0.10446705569739,"Stream Order = 5","0.00017","0.16",0.000147609247980814,"0.035",1995,0.113822325908033,0.103533918916662,"bold"
"120",1998,0.104051981296307,"Stream Order = 5","0.00017","0.16",0.000147609247980814,"0.035",1995,0.113822325908033,0.103533918916662,"bold"
"121",1999,0.108821263621877,"Stream Order = 5","0.00017","0.16",0.000147609247980814,"0.035",1995,0.113822325908033,0.103533918916662,"bold"
"122",2000,0.109710511174649,"Stream Order = 5","0.00017","0.16",0.000147609247980814,"0.035",1995,0.113822325908033,0.103533918916662,"bold"
"123",2001,0.109940797929204,"Stream Order = 5","0.00017","0.16",0.000147609247980814,"0.035",1995,0.113822325908033,0.103533918916662,"bold"
"124",2002,0.109849716067612,"Stream Order = 5","0.00017","0.16",0.000147609247980814,"0.035",1995,0.113822325908033,0.103533918916662,"bold"
