"","year","frac","order"
"19853",1985,1641.5801780629,"Stream Order = 5"
"19863",1986,1687.57184596641,"Stream Order = 5"
"19873",1987,1612.31793514636,"Stream Order = 5"
"19883",1988,1694.27380536568,"Stream Order = 5"
"19893",1989,1727.60127019284,"Stream Order = 5"
"19903",1990,1706.65098719281,"Stream Order = 5"
"19913",1991,1672.85557209263,"Stream Order = 5"
"19923",1992,1576.44446996314,"Stream Order = 5"
"19933",1993,1696.04344252277,"Stream Order = 5"
"19943",1994,1740.7592871287,"Stream Order = 5"
"19953",1995,1672.52183667287,"Stream Order = 5"
"19963",1996,1715.5307286071,"Stream Order = 5"
"19973",1997,1608.74633335225,"Stream Order = 5"
"19983",1998,1742.03524649514,"Stream Order = 5"
"19993",1999,1758.50692467109,"Stream Order = 5"
"20003",2000,1713.58738891912,"Stream Order = 5"
"20013",2001,1634.82940697156,"Stream Order = 5"
"20023",2002,1672.89339453783,"Stream Order = 5"
"20033",2003,1598.83614088065,"Stream Order = 5"
"20043",2004,1590.51679414108,"Stream Order = 5"
"20053",2005,1600.34031274597,"Stream Order = 5"
"20063",2006,1620.92283937322,"Stream Order = 5"
"20073",2007,1669.49394340705,"Stream Order = 5"
"20083",2008,1684.15706968322,"Stream Order = 5"
"20093",2009,1657.95173003254,"Stream Order = 5"
"20103",2010,1677.43755555947,"Stream Order = 5"
"20113",2011,1686.52385291562,"Stream Order = 5"
"20123",2012,1581.55809978037,"Stream Order = 5"
"20133",2013,1694.98304874444,"Stream Order = 5"
"20143",2014,1643.34865136008,"Stream Order = 5"
"20153",2015,1602.75664753302,"Stream Order = 5"
"20163",2016,1649.24620397433,"Stream Order = 5"
"20173",2017,1729.1483495635,"Stream Order = 5"
"20183",2018,1659.03516051721,"Stream Order = 5"
"19844",1984,751.899370885215,"Stream Order = 4"
"19854",1985,726.025821152712,"Stream Order = 4"
"19864",1986,742.861524403829,"Stream Order = 4"
"19874",1987,695.948921491954,"Stream Order = 4"
"19884",1988,747.652042632676,"Stream Order = 4"
"19894",1989,753.546527837337,"Stream Order = 4"
"19904",1990,742.055076093094,"Stream Order = 4"
"19914",1991,730.25857790113,"Stream Order = 4"
"19924",1992,693.580755159462,"Stream Order = 4"
"19934",1993,742.890936637159,"Stream Order = 4"
"19944",1994,759.409805495175,"Stream Order = 4"
"19954",1995,743.47471729855,"Stream Order = 4"
"19964",1996,753.264303055533,"Stream Order = 4"
"19974",1997,706.37052690956,"Stream Order = 4"
"19984",1998,746.125216631073,"Stream Order = 4"
"19994",1999,759.175469914498,"Stream Order = 4"
"20004",2000,737.048604671475,"Stream Order = 4"
"20014",2001,710.935862602662,"Stream Order = 4"
"20024",2002,719.374087120925,"Stream Order = 4"
"20034",2003,695.225577762652,"Stream Order = 4"
"20044",2004,685.716925313244,"Stream Order = 4"
"20054",2005,689.073632311717,"Stream Order = 4"
"20064",2006,708.636554367441,"Stream Order = 4"
"20074",2007,726.210888516071,"Stream Order = 4"
"20084",2008,748.420000059792,"Stream Order = 4"
"20094",2009,732.275855323674,"Stream Order = 4"
"20104",2010,734.90748715171,"Stream Order = 4"
"20114",2011,740.368328999619,"Stream Order = 4"
"20124",2012,697.223680303966,"Stream Order = 4"
"20134",2013,737.112311427055,"Stream Order = 4"
"20144",2014,715.099195861786,"Stream Order = 4"
"20154",2015,705.154954199843,"Stream Order = 4"
"20164",2016,729.908640171858,"Stream Order = 4"
"20174",2017,761.11333226276,"Stream Order = 4"
"20184",2018,744.544445694651,"Stream Order = 4"
"19845",1984,333.919805130498,"Stream Order = 3"
"19855",1985,322.018929556381,"Stream Order = 3"
"19865",1986,326.792454742399,"Stream Order = 3"
"19875",1987,308.378834190377,"Stream Order = 3"
"19885",1988,328.758882553513,"Stream Order = 3"
"19895",1989,331.018723653752,"Stream Order = 3"
"19905",1990,327.097818596951,"Stream Order = 3"
"19915",1991,321.216447495741,"Stream Order = 3"
"19925",1992,304.644987189717,"Stream Order = 3"
"19935",1993,327.016253743783,"Stream Order = 3"
"19945",1994,332.43816731336,"Stream Order = 3"
"19955",1995,328.079340332993,"Stream Order = 3"
